Lat,Long,Discharge,Stage
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
35.6088889,82.5780556,238.81707763671875,413.3438720703125
