,temperature,bed_slope,channel_width,mannings_n,channel_depth,discharge,channel_bed_elevation,gage_elevation
mean,14.076304562914018,0.001484812133251988,44.37547611376551,0.03498092026039848,2.517629100281741,25.603728405987596,600.449914609597,602.2625288995216
std,6.3240509993164915,0.0005234449168848771,33.287464268246836,0.004078971275146458,0.5604902893431528,43.71999282610116,3.503714467250753,3.0934884570870893
